bondlength	fci0	energy0	error0	fci1	energy1	error1	fci2	energy2	error2
2.248	-7.841971644022328	-7.841195345215761	0.000776298806567155	-7.777450027880475	-7.776839116913802	0.0006109109666727619	-7.748519535089116	-7.747724558367907	0.0007949767212087622
2.26	-7.841050244557679	-7.840280820843135	0.0007694237145443594	-7.777486454211103	-7.776878313799299	0.0006081404118036815	-7.748235969412179	-7.7474473679261955	0.0007886014859836976
2.2720000000000002	-7.840132195718075	-7.839369573810034	0.0007626219080414387	-7.777522001931299	-7.776916570929254	0.0006054310020449094	-7.747947404308864	-7.747165167320173	0.0007822369886909541
2.284	-7.839217837165303	-7.838461943580063	0.0007558935852403081	-7.777556791315004	-7.776953732204491	0.0006030591105137262	-7.747653954480428	-7.746877970451732	0.0007759840286958308
2.2960000000000003	-7.8383074993059125	-7.8375582612319	0.0007492380740128368	-7.777590935301214	-7.776990911877419	0.0006000234237948376	-7.747355729283713	-7.746585966661272	0.0007697626224407728
2.308	-7.837401503407154	-7.836658848105254	0.0007426553018996529	-7.777624539731439	-7.777027335644101	0.000597204087338099	-7.747052833099032	-7.746289189534533	0.0007636435644986506
2.3200000000000003	-7.836500161698217	-7.835764014375933	0.0007361473222839976	-7.777657703584207	-7.7770632625679	0.0005944410163074565	-7.7467453656977945	-7.745987803181151	0.0007575625166431621
2.332	-7.835603777457808	-7.8348740665783065	0.0007297108795016882	-7.77769051920697	-7.777098849201461	0.0005916700055088597	-7.746433422609672	-7.745681758393212	0.0007516642164606679
2.3440000000000003	-7.834712645087851	-7.833989296606206	0.0007233484816451252	-7.777723072544909	-7.7771341797734	0.0005888927715087533	-7.746117095488483	-7.745371449232761	0.0007456462557220433
2.356	-7.833827050174602	-7.833109991107962	0.0007170590666394361	-7.777755443366981	-7.77716931414365	0.0005861292233309001	-7.745796472476755	-7.745056674466708	0.0007397980100467549
2.3680000000000003	-7.832947269537393	-7.83223642680255	0.0007108427348434532	-7.77778770548893	-7.777204358313955	0.0005833471749756569	-7.745471638567939	-7.74473761589404	0.000734022673898771
2.38	-7.832073571265999	-7.831368871977244	0.0007046992887556058	-7.777819926993482	-7.777239360808836	0.0005805661846460808	-7.745142675966168	-7.744414352932435	0.000728323033732714
2.3920000000000003	-7.831206214747241	-7.830507586128245	0.0006986286189958335	-7.777852170447333	-7.7772744245646726	0.0005777458826603521	-7.744809664442456	-7.744086962079308	0.0007227023631477536
2.404	-7.830345450681652	-7.829652820085215	0.0006926305964372048	-7.777884493115081	-7.777309547203041	0.0005749459120396594	-7.744472681686898	-7.74375553125096	0.0007171504359382297
